Estimator,L,N_i,intercept,slope,r2_stage1,kappa_hat_naive
moment_quant_exact_intervals,96,450,0.005960810458498134,3.37838872819508e-05,0.9967344026832,1.3246245463329187e-05
moment_quant_exact_intervals,126,480,0.006303716584087177,4.537575368477676e-05,0.9979323027409684,1.3132742883514951e-05
moment_quant_exact_intervals,127,480,0.0063685935117649235,4.3804299738980024e-05,0.9871540606399066,1.3267903149510257e-05
moment_quant_exact_intervals,128,480,0.006366937613618595,4.2462043232249575e-05,0.9901482158697003,1.3264453361705406e-05
moment_quant_exact_intervals,129,480,0.006335438458315865,4.407306032308385e-05,0.9921786105610559,1.3198830121491386e-05
moment_quant_exact_intervals,192,480,0.007468168478398897,7.383671165872863e-05,0.9600047045612727,1.55586843299977e-05
moment_quant_exact_intervals,254,480,0.007467506276578659,0.00010295864008870766,0.9807305370411038,1.5557304742872207e-05
moment_quant_exact_intervals,255,480,0.007501080084856639,9.835647828206843e-05,0.9718652443488557,1.5627250176784665e-05
moment_quant_exact_intervals,256,480,0.007472187779823352,9.884644689922763e-05,0.9726334117504409,1.5567057874631982e-05
moment_quant_exact_intervals,257,480,0.007492448844886888,0.00010377564672905844,0.98049997287336,1.5609268426847684e-05
moment_quant_exact_intervals,384,480,0.007786238591391807,0.00018101241295737729,0.9708225233590351,1.6221330398732932e-05
moment_quant_exact_intervals,510,480,0.007855396547500634,0.00025040167958133443,0.9872250531063469,1.6365409473959653e-05
moment_quant_exact_intervals,511,480,0.007819108903021071,0.00025329417478144235,0.990198842220916,1.628981021462723e-05
moment_quant_exact_intervals,512,480,0.007804244897656931,0.00024911576193465193,0.9866717056845075,1.6258843536785272e-05
moment_quant_exact_intervals,513,480,0.007896870596920859,0.00025190042579521164,0.9905283148289841,1.645181374358512e-05
moment_quant_exact_intervals,768,480,0.007823897871792383,0.0004335882763146796,0.981486155104377,1.6299787232900796e-05
moment_quant_exact_intervals,1022,480,0.007878956245290381,0.0006027513358826572,0.9873172539655142,1.6414492177688293e-05
moment_quant_exact_intervals,1023,480,0.007859154269121099,0.0006059902135217649,0.9898195612746034,1.6373238060668957e-05
moment_quant_exact_intervals,1024,480,0.007883340935105445,0.0006027797958555411,0.989026915750667,1.6423626948136346e-05
moment_quant_exact_intervals,1025,480,0.007875360781630902,0.0006027213395755474,0.98792183422003,1.640700162839771e-05
