Dataset,Estimator,Accuracy,LengthBin,SeriesLength,TransformRuntime
Mallat,quant,0.9618905472636816,Long,1024,1.9922308750028608
Meat,moment_quant_approx,0.9838888888888888,Medium-long,448,0.0602707500001996
Meat,moment_quant_exact,0.9833333333333333,Medium-long,448,0.0525417509961698
Meat,quant,0.9833333333333333,Medium-long,448,0.0793145000025105
MedicalImages,moment_quant_approx,0.8129385964912281,Short,99,0.073049833998084
MedicalImages,moment_quant_exact,0.8104385964912281,Short,99,0.18811199899937492
MedicalImages,quant,0.8104385964912281,Short,99,0.0912577919989416
MelbournePedestrian,moment_quant_approx,0.9710794882851804,Short,24,0.044148000004497506
MelbournePedestrian,moment_quant_exact,0.9713094724737673,Short,24,0.1416459590036538
MelbournePedestrian,quant,0.9709357481673135,Short,24,0.0339070410045678
MiddlePhalanxOutlineAgeGroup,moment_quant_approx,0.6963203463203463,Short,80,0.049700751002091995
MiddlePhalanxOutlineAgeGroup,moment_quant_exact,0.6982683982683983,Short,80,0.0858723329984058
MiddlePhalanxOutlineAgeGroup,quant,0.6982683982683983,Short,80,0.054358709003281394
MiddlePhalanxOutlineCorrect,moment_quant_approx,0.8249713631156931,Short,80,0.058466709000640396
MiddlePhalanxOutlineCorrect,moment_quant_exact,0.8254295532646049,Short,80,0.1345142079990182
MiddlePhalanxOutlineCorrect,quant,0.8254295532646049,Short,80,0.06536204099757009
MiddlePhalanxTW,moment_quant_approx,0.5872294372294372,Short,80,0.048011417999077696
MiddlePhalanxTW,moment_quant_exact,0.5837662337662338,Short,80,0.0848081249969254
MiddlePhalanxTW,quant,0.5837662337662338,Short,80,0.054451292002340695
MixedShapesRegularTrain,moment_quant_approx,0.9557388316151203,Long,1024,0.987844416998996
MixedShapesRegularTrain,moment_quant_exact,0.9677800687285224,Long,1024,1.8580166239989921
MixedShapesRegularTrain,quant,0.9677800687285224,Long,1024,2.9313274170017394
MixedShapesSmallTrain,moment_quant_approx,0.9180481099656357,Long,1024,0.7953014169979724
MixedShapesSmallTrain,moment_quant_exact,0.9351752577319588,Long,1024,1.643455167002685
MixedShapesSmallTrain,quant,0.9351752577319588,Long,1024,2.4663122080019093
MoteStrain,moment_quant_approx,0.8888711395101172,Short,84,0.0720950830036598
MoteStrain,moment_quant_exact,0.9253194888178914,Short,84,0.2048141669984033
MoteStrain,quant,0.9253194888178914,Short,84,0.08922779200292999
NonInvasiveFetalECGThorax1,moment_quant_approx,0.9407294317217982,Long,750,0.8837322499966831
NonInvasiveFetalECGThorax1,moment_quant_exact,0.9369465648854961,Long,750,1.741305083000043
NonInvasiveFetalECGThorax1,quant,0.9369465648854961,Long,750,2.7815602500013483
NonInvasiveFetalECGThorax2,moment_quant_approx,0.9522476675148431,Long,750,0.8798438329977216
NonInvasiveFetalECGThorax2,moment_quant_exact,0.9555046649703137,Long,750,1.7395859160023974
NonInvasiveFetalECGThorax2,quant,0.9555046649703137,Long,750,2.75168741699963
OSULeaf,moment_quant_approx,0.8724517906336088,Medium-long,427,0.0999985829985234
OSULeaf,moment_quant_exact,0.8798898071625344,Medium-long,427,0.1433571669986122
OSULeaf,quant,0.8798898071625344,Medium-long,427,0.1792070419978698
OliveOil,moment_quant_approx,0.9166666666666666,Medium-long,570,0.0600117490030242
OliveOil,moment_quant_exact,0.9044444444444444,Medium-long,570,0.0331670010018569
OliveOil,quant,0.9044444444444444,Medium-long,570,0.0676197499997215
PLAID,moment_quant_approx,0.9145872129112352,Long,1345,0.4216145840036915
PLAID,moment_quant_exact,0.9219118559900683,Long,1345,0.980310124996322
PLAID,quant,0.9219118559900683,Long,1345,1.745471832997282
PhalangesOutlinesCorrect,moment_quant_approx,0.8500777000777,Short,80,0.1096494579978752
PhalangesOutlinesCorrect,moment_quant_exact,0.8496114996114996,Short,80,0.39992958399670897
PhalangesOutlinesCorrect,quant,0.8496114996114996,Short,80,0.12235833399972751
PhoneHeartbeatSound,moment_quant_approx,0.6663003663003663,Long,3053,0.4940673759992933
PhoneHeartbeatSound,moment_quant_exact,0.665018315018315,Long,3053,1.3359987910007476
PhoneHeartbeatSound,quant,0.665018315018315,Long,3053,2.437556624998251
Phoneme,moment_quant_approx,0.3687763713080168,Long,1024,0.6345646260015201
Phoneme,moment_quant_exact,0.3719409282700422,Long,1024,1.3526559589990936
Phoneme,quant,0.3719409282700422,Long,1024,2.319711375002953
PickupGestureWiimoteZ,moment_quant_approx,0.8106666666666666,Medium-long,361,0.0540197910013375
PickupGestureWiimoteZ,moment_quant_exact,0.8046666666666666,Medium-long,361,0.0426982079952721
PickupGestureWiimoteZ,quant,0.8046666666666666,Medium-long,361,0.07042924999768721
PigAirwayPressure,moment_quant_approx,0.41169871794871793,Long,2000,0.223499375002575
PigAirwayPressure,moment_quant_exact,0.4581730769230769,Long,2000,0.4193004990011103
PigAirwayPressure,quant,0.4581730769230769,Long,2000,0.7236379589994612
PigArtPressure,moment_quant_approx,0.8857371794871794,Long,2000,0.2263271259980682
PigArtPressure,moment_quant_exact,0.8894230769230769,Long,2000,0.4140016669989563
PigArtPressure,quant,0.8894230769230769,Long,2000,0.7012867500015999
PigCVP,moment_quant_approx,0.6403846153846153,Long,2000,0.2223147490003611
PigCVP,moment_quant_exact,0.6421474358974358,Long,2000,0.4100309579989698
PigCVP,quant,0.6421474358974358,Long,2000,0.7243638750005629
Plane,moment_quant_approx,1.0,Short,144,0.04667262600196399
Plane,moment_quant_exact,1.0,Short,144,0.045146250999096
Plane,quant,1.0,Short,144,0.0572387499996693
PowerCons,moment_quant_approx,0.9929629629629629,Short,144,0.053070000005391096
PowerCons,moment_quant_exact,0.9903703703703702,Short,144,0.0797187919997667
PowerCons,quant,0.9903703703703702,Short,144,0.0719439999993482
ProximalPhalanxOutlineAgeGroup,moment_quant_approx,0.853170731707317,Short,80,0.0481405419996007
ProximalPhalanxOutlineAgeGroup,moment_quant_exact,0.8517073170731707,Short,80,0.0910252080029749
ProximalPhalanxOutlineAgeGroup,quant,0.8517073170731707,Short,80,0.0534628750028786
ProximalPhalanxOutlineCorrect,moment_quant_approx,0.897709049255441,Short,80,0.0597646249989338
ProximalPhalanxOutlineCorrect,moment_quant_exact,0.8995418098510882,Short,80,0.1356371250003576
ProximalPhalanxOutlineCorrect,quant,0.8995418098510882,Short,80,0.0646781249997729
ProximalPhalanxTW,moment_quant_approx,0.8123577235772358,Short,80,0.050428833998012
ProximalPhalanxTW,moment_quant_exact,0.8188617886178862,Short,80,0.0926296659999933
ProximalPhalanxTW,quant,0.8188617886178862,Short,80,0.0552237500014597
RefrigerationDevices,moment_quant_approx,0.7115555555555556,Medium-long,720,0.2087940000019443
RefrigerationDevices,moment_quant_exact,0.7444444444444444,Medium-long,720,0.2461450840019096
RefrigerationDevices,quant,0.7443555555555555,Medium-long,720,0.40466454199849966
Rock,moment_quant_approx,0.8093333333333333,Long,2844,0.1103326249976816
Rock,moment_quant_exact,0.794,Long,2844,0.1725269159978779
Rock,quant,0.794,Long,2844,0.2598648329985734
ScreenType,moment_quant_approx,0.6576000000000001,Medium-long,720,0.20874441699925222
ScreenType,moment_quant_exact,0.6709333333333334,Medium-long,720,0.1916587500018067
ScreenType,quant,0.6713777777777777,Medium-long,720,0.321101624998846
SemgHandGenderCh2,moment_quant_approx,0.9498888888888889,Long,1500,0.37394883300294157
SemgHandGenderCh2,moment_quant_exact,0.9546666666666667,Long,1500,0.8525737080017279
SemgHandGenderCh2,quant,0.9546666666666667,Long,1500,1.6177138340026431
SemgHandMovementCh2,moment_quant_approx,0.872,Long,1500,0.3434115839991136
SemgHandMovementCh2,moment_quant_exact,0.8548148148148148,Long,1500,0.8509191249977447
SemgHandMovementCh2,quant,0.8548148148148148,Long,1500,1.6311585840012413
SemgHandSubjectCh2,moment_quant_approx,0.9214814814814816,Long,1500,0.3424855429984744
SemgHandSubjectCh2,moment_quant_exact,0.9241481481481482,Long,1500,0.843967541000893
SemgHandSubjectCh2,quant,0.9241481481481482,Long,1500,1.635268707996147
ShakeGestureWiimoteZ,moment_quant_approx,0.8313333333333334,Medium-long,385,0.0546308749981107
ShakeGestureWiimoteZ,moment_quant_exact,0.8486666666666667,Medium-long,385,0.0438894580001942
ShakeGestureWiimoteZ,quant,0.8486666666666667,Medium-long,385,0.0743180829995253
ShapeletSim,moment_quant_approx,0.826851851851852,Medium-long,500,0.0759681249983259
