Dataset,Split,Number of samples,Series length,Estimator,Run,Runtime
Wafer,test,6164,152,moment_quant_approx_auto,4,0.49925454199910746
Wafer,train,1000,152,moment_quant_approx_intervals,9,0.08503341699906741
Wafer,test,6164,152,moment_quant_approx_intervals,9,0.46845654099888634
Wafer,train,1000,152,moment_quant_approx_samples,6,0.06674225000097067
Wafer,test,6164,152,moment_quant_approx_samples,6,0.33156654100093874
Wafer,train,1000,152,moment_quant_exact_intervals,4,0.06375216699962039
Wafer,test,6164,152,moment_quant_exact_intervals,4,0.40402924999943934
Wafer,train,1000,152,moment_quant_approx_auto,1,0.06801816699953633
Wafer,test,6164,152,moment_quant_approx_auto,1,0.4718451670014474
Wafer,train,1000,152,moment_quant_exact_intervals,8,0.06374141600099392
Wafer,test,6164,152,moment_quant_exact_intervals,8,0.4220980829995824
Wafer,train,1000,152,moment_quant_approx_intervals,2,0.08395708299940452
Wafer,test,6164,152,moment_quant_approx_intervals,2,0.4680571249991772
Wafer,train,1000,152,moment_quant_exact_samples,8,0.2181979160013725
Wafer,test,6164,152,moment_quant_exact_samples,8,1.4177067499986151
Wafer,train,1000,152,moment_quant_exact_auto,3,0.0699092089998885
Wafer,test,6164,152,moment_quant_exact_auto,3,0.4409912919982162
Wafer,train,1000,152,moment_quant_exact_auto,4,0.06926987499900861
Wafer,test,6164,152,moment_quant_exact_auto,4,0.4410995420003019
Wafer,train,1000,152,moment_quant_approx_samples,8,0.06918441699963296
Wafer,test,6164,152,moment_quant_approx_samples,8,0.34311575000174344
Wafer,train,1000,152,quant_float64,4,0.09971766699891305
Wafer,test,6164,152,quant_float64,4,0.56216133399721
Wafer,train,1000,152,moment_quant_exact_intervals,9,0.06984458299848484
Wafer,test,6164,152,moment_quant_exact_intervals,9,0.42053095799928997
Wafer,train,1000,152,moment_quant_exact_auto,9,0.06453479100309778
Wafer,test,6164,152,moment_quant_exact_auto,9,0.40405645799910417
Wafer,train,1000,152,moment_quant_exact_intervals,6,0.06458108399965568
Wafer,test,6164,152,moment_quant_exact_intervals,6,0.4163232080027228
Wafer,train,1000,152,moment_quant_approx_samples,2,0.06953162499848986
Wafer,test,6164,152,moment_quant_approx_samples,2,0.33735279100073967
Wafer,train,1000,152,quant_float64,6,0.10002950000125566
Wafer,test,6164,152,quant_float64,6,0.588608292000572
Wafer,train,1000,152,moment_quant_approx_intervals,1,0.08407004200125812
Wafer,test,6164,152,moment_quant_approx_intervals,1,0.495200332999957
Wafer,train,1000,152,moment_quant_approx_auto,2,0.0693108339983155
Wafer,test,6164,152,moment_quant_approx_auto,2,0.49128504200052703
Wafer,train,1000,152,quant_float64,3,0.09534987499864656
Wafer,test,6164,152,quant_float64,3,0.557072125000559
Wafer,train,1000,152,moment_quant_exact_auto,1,0.06460029099980602
Wafer,test,6164,152,moment_quant_exact_auto,1,0.4042277090011339
Wafer,train,1000,152,moment_quant_exact_samples,0,0.21744820800086018
Wafer,test,6164,152,moment_quant_exact_samples,0,1.3519182919990271
Wafer,train,1000,152,moment_quant_exact_samples,9,0.2271161659991776
Wafer,test,6164,152,moment_quant_exact_samples,9,1.3796678750004503
Wafer,train,1000,152,moment_quant_approx_samples,7,0.06959462500162772
Wafer,test,6164,152,moment_quant_approx_samples,7,0.33718929099995876
Wafer,train,1000,152,moment_quant_exact_auto,5,0.07672208299845806
Wafer,test,6164,152,moment_quant_exact_auto,5,0.44855658400047105
Wafer,train,1000,152,moment_quant_approx_auto,9,0.06965937499990105
Wafer,test,6164,152,moment_quant_approx_auto,9,0.5127183340009651
Wafer,train,1000,152,moment_quant_approx_intervals,0,0.08689583299928927
Wafer,test,6164,152,moment_quant_approx_intervals,0,0.5151007500026026
Wafer,train,1000,152,quant_float64,8,0.0995497499970952
Wafer,test,6164,152,quant_float64,8,0.5609417920022679
Wafer,train,1000,152,moment_quant_approx_intervals,8,0.09411612500116462
Wafer,test,6164,152,moment_quant_approx_intervals,8,0.5079525410001224
Wafer,train,1000,152,quant_float64,1,0.09581758399872342
Wafer,test,6164,152,quant_float64,1,0.5668683749972843
Wafer,train,1000,152,moment_quant_approx_intervals,7,0.08668779100116808
Wafer,test,6164,152,moment_quant_approx_intervals,7,0.49562383299780777
Wafer,train,1000,152,quant_float64,2,0.09514787500302191
Wafer,test,6164,152,quant_float64,2,0.5887821249998524
Wafer,train,1000,152,moment_quant_approx_auto,6,0.06859866699960548
Wafer,test,6164,152,moment_quant_approx_auto,6,0.4986937499998021
BirdChicken,train,20,512,moment_quant_exact_samples,3,0.013283374999446096
BirdChicken,test,20,512,moment_quant_exact_samples,3,0.010956874997646082
BirdChicken,train,20,512,moment_quant_approx_samples,9,0.027032292000512825
BirdChicken,test,20,512,moment_quant_approx_samples,9,0.024866457999451086
BirdChicken,train,20,512,moment_quant_approx_intervals,3,0.03174579099868424
BirdChicken,test,20,512,moment_quant_approx_intervals,3,0.02970524999909685
BirdChicken,train,20,512,moment_quant_approx_auto,7,0.026987209002982127
BirdChicken,test,20,512,moment_quant_approx_auto,7,0.02479470899925218
BirdChicken,train,20,512,moment_quant_exact_intervals,8,0.015264000001479872
BirdChicken,test,20,512,moment_quant_exact_intervals,8,0.013177458000427578
BirdChicken,train,20,512,moment_quant_exact_auto,6,0.012585083000885788
BirdChicken,test,20,512,moment_quant_exact_auto,6,0.01122883299831301
BirdChicken,train,20,512,quant_float64,9,0.03028125000128057
BirdChicken,test,20,512,quant_float64,9,0.028633042002184084
BirdChicken,train,20,512,moment_quant_exact_intervals,1,0.01609716699749697
BirdChicken,test,20,512,moment_quant_exact_intervals,1,0.013705207999009872
BirdChicken,train,20,512,moment_quant_exact_samples,4,0.01239516699934029
BirdChicken,test,20,512,moment_quant_exact_samples,4,0.010511291999137029
BirdChicken,train,20,512,moment_quant_approx_intervals,0,0.03076929199960432
BirdChicken,test,20,512,moment_quant_approx_intervals,0,0.028788457999326056
BirdChicken,train,20,512,quant_float64,5,0.0313407499997993
BirdChicken,test,20,512,quant_float64,5,0.029410750001261476
BirdChicken,train,20,512,moment_quant_approx_samples,8,0.026948999999149237
BirdChicken,test,20,512,moment_quant_approx_samples,8,0.024546666998503497
BirdChicken,train,20,512,moment_quant_exact_samples,9,0.012398832997860154
BirdChicken,test,20,512,moment_quant_exact_samples,9,0.01030058300239034
BirdChicken,train,20,512,moment_quant_exact_intervals,6,0.014922291000402765
BirdChicken,test,20,512,moment_quant_exact_intervals,6,0.012820957999792881
BirdChicken,train,20,512,moment_quant_exact_auto,9,0.012339875000179745
BirdChicken,test,20,512,moment_quant_exact_auto,9,0.010305457999493228
BirdChicken,train,20,512,moment_quant_approx_auto,5,0.026705625001341105
BirdChicken,test,20,512,moment_quant_approx_auto,5,0.024563082999520702
BirdChicken,train,20,512,moment_quant_approx_samples,4,0.02668199999970966
BirdChicken,test,20,512,moment_quant_approx_samples,4,0.024603541001852136
BirdChicken,train,20,512,quant_float64,1,0.03096949999962817
BirdChicken,test,20,512,quant_float64,1,0.02886433299863711
BirdChicken,train,20,512,moment_quant_exact_auto,8,0.012449042002117494
BirdChicken,test,20,512,moment_quant_exact_auto,8,0.010295666997990338
BirdChicken,train,20,512,quant_float64,6,0.029891666999901645
BirdChicken,test,20,512,quant_float64,6,0.028613875001610722
BirdChicken,train,20,512,moment_quant_approx_intervals,1,0.030793875001108972
BirdChicken,test,20,512,moment_quant_approx_intervals,1,0.028533417000289774
BirdChicken,train,20,512,moment_quant_approx_samples,6,0.026710458001616644
BirdChicken,test,20,512,moment_quant_approx_samples,6,0.0245835409987194
BirdChicken,train,20,512,moment_quant_approx_intervals,4,0.030484208000416402
BirdChicken,test,20,512,moment_quant_approx_intervals,4,0.02923874999760301
BirdChicken,train,20,512,moment_quant_approx_intervals,6,0.032546166999964043
BirdChicken,test,20,512,moment_quant_approx_intervals,6,0.028695500001049368
BirdChicken,train,20,512,moment_quant_exact_auto,5,0.012841625000874046
BirdChicken,test,20,512,moment_quant_exact_auto,5,0.010612875001243083
BirdChicken,train,20,512,moment_quant_exact_intervals,7,0.015068415999849094
BirdChicken,test,20,512,moment_quant_exact_intervals,7,0.012645499999052845
BirdChicken,train,20,512,moment_quant_approx_auto,0,0.027058499999839114
BirdChicken,test,20,512,moment_quant_approx_auto,0,0.024714332997973543
BirdChicken,train,20,512,moment_quant_exact_intervals,4,0.015097999999852618
BirdChicken,test,20,512,moment_quant_exact_intervals,4,0.012677916998654837
BirdChicken,train,20,512,quant_float64,7,0.031006083001557272
BirdChicken,test,20,512,quant_float64,7,0.029601624999486376
BirdChicken,train,20,512,moment_quant_approx_intervals,2,0.03085208300035447
BirdChicken,test,20,512,moment_quant_approx_intervals,2,0.02848370799983968
BirdChicken,train,20,512,moment_quant_approx_auto,6,0.026717333003034582
BirdChicken,test,20,512,moment_quant_approx_auto,6,0.024628249997476814
BirdChicken,train,20,512,moment_quant_approx_auto,8,0.0266227499996603
BirdChicken,test,20,512,moment_quant_approx_auto,8,0.02464916600001743
BirdChicken,train,20,512,quant_float64,8,0.0313486670020211
BirdChicken,test,20,512,quant_float64,8,0.029650333999597933
BirdChicken,train,20,512,moment_quant_exact_samples,7,0.01236633399821585
BirdChicken,test,20,512,moment_quant_exact_samples,7,0.010152124999876833
BirdChicken,train,20,512,moment_quant_exact_auto,4,0.012133833002735628
BirdChicken,test,20,512,moment_quant_exact_auto,4,0.01010691600095015
BirdChicken,train,20,512,quant_float64,2,0.030818332998023834
BirdChicken,test,20,512,quant_float64,2,0.029444291998515837
BirdChicken,train,20,512,moment_quant_exact_samples,8,0.01221770799747901
BirdChicken,test,20,512,moment_quant_exact_samples,8,0.010064124999189517
BirdChicken,train,20,512,moment_quant_approx_auto,3,0.026731709000159753
BirdChicken,test,20,512,moment_quant_approx_auto,3,0.024703208000573795
BirdChicken,train,20,512,moment_quant_exact_auto,2,0.012211666999064619
BirdChicken,test,20,512,moment_quant_exact_auto,2,0.010188915999606252
BirdChicken,train,20,512,moment_quant_approx_auto,1,0.026688915997510776
BirdChicken,test,20,512,moment_quant_approx_auto,1,0.024669750000612112
BirdChicken,train,20,512,moment_quant_approx_samples,5,0.026646040998457465
BirdChicken,test,20,512,moment_quant_approx_samples,5,0.024596999999630498
BirdChicken,train,20,512,moment_quant_approx_samples,2,0.02783350000026985
BirdChicken,test,20,512,moment_quant_approx_samples,2,0.025044707999768434
BirdChicken,train,20,512,moment_quant_approx_auto,4,0.027077167000243207
BirdChicken,test,20,512,moment_quant_approx_auto,4,0.025224416000128258
BirdChicken,train,20,512,moment_quant_approx_intervals,5,0.03154645799804712
BirdChicken,test,20,512,moment_quant_approx_intervals,5,0.02945279200139339
BirdChicken,train,20,512,moment_quant_exact_auto,7,0.012997582998650614
BirdChicken,test,20,512,moment_quant_exact_auto,7,0.010638916999596404
BirdChicken,train,20,512,moment_quant_exact_samples,5,0.012771957997756545
BirdChicken,test,20,512,moment_quant_exact_samples,5,0.010642791999998735
BirdChicken,train,20,512,moment_quant_approx_intervals,7,0.03128362500137882
BirdChicken,test,20,512,moment_quant_approx_intervals,7,0.029421084000205155
BirdChicken,train,20,512,moment_quant_exact_intervals,3,0.015007792000687914
BirdChicken,test,20,512,moment_quant_exact_intervals,3,0.012944540998432785
BirdChicken,train,20,512,moment_quant_exact_auto,0,0.012814416997571243
BirdChicken,test,20,512,moment_quant_exact_auto,0,0.01052308300131699
BirdChicken,train,20,512,moment_quant_exact_auto,1,0.01261733299907064
BirdChicken,test,20,512,moment_quant_exact_auto,1,0.010543750002398156
BirdChicken,train,20,512,quant_float64,4,0.03073324999786564
BirdChicken,test,20,512,quant_float64,4,0.02941804199872422
BirdChicken,train,20,512,moment_quant_exact_samples,0,0.012458541998057626
BirdChicken,test,20,512,moment_quant_exact_samples,0,0.0103604579999228
BirdChicken,train,20,512,moment_quant_approx_samples,3,0.02664862500023446
BirdChicken,test,20,512,moment_quant_approx_samples,3,0.024622625001939014
BirdChicken,train,20,512,moment_quant_approx_samples,0,0.0266514590002771
BirdChicken,test,20,512,moment_quant_approx_samples,0,0.02467074999731267
BirdChicken,train,20,512,moment_quant_exact_samples,1,0.01233308299924829
BirdChicken,test,20,512,moment_quant_exact_samples,1,0.010392500000307336
BirdChicken,train,20,512,moment_quant_exact_samples,6,0.01234854200083646
BirdChicken,test,20,512,moment_quant_exact_samples,6,0.010247375001199543
BirdChicken,train,20,512,moment_quant_exact_samples,2,0.012292833998799324
BirdChicken,test,20,512,moment_quant_exact_samples,2,0.010334167000110028
BirdChicken,train,20,512,moment_quant_exact_intervals,5,0.014802290999796242
BirdChicken,test,20,512,moment_quant_exact_intervals,5,0.012701958999969065
BirdChicken,train,20,512,quant_float64,3,0.031465874999412335
BirdChicken,test,20,512,quant_float64,3,0.02953683300074772
BirdChicken,train,20,512,moment_quant_approx_auto,9,0.02689950000058161
BirdChicken,test,20,512,moment_quant_approx_auto,9,0.02462879200174939
BirdChicken,train,20,512,moment_quant_approx_intervals,8,0.030528125000273576
BirdChicken,test,20,512,moment_quant_approx_intervals,8,0.028514166002423735
