l,Variant,Run,Runtime
64,keyvalue,24,1.0267500001646113e-06
8192,keyvalue,13,0.00038866333998157645
4096,direct,11,0.0001665783300086332
1048576,direct,0,0.0814579589987261
16,direct,16,4.266014000071057e-07
8,indirect,23,6.401033200017992e-07
32768,indirect,5,0.002473027749905062
512,indirect,9,6.114416999480455e-06
512,indirect,16,6.270417001360329e-06
128,indirect,1,1.7414832000213209e-06
1024,direct,24,9.64274999932968e-06
128,direct,15,1.2215000002470332e-06
8192,indirect,22,0.0004911875000107102
8,keyvalue,6,6.291866599713103e-07
8192,direct,30,0.000368458320008358
16,direct,34,4.079250000359025e-07
1024,keyvalue,10,1.3261166001029778e-05
262144,direct,6,0.018557541500740626
1048576,direct,10,0.0814027910000732
256,direct,22,2.216437499555468e-06
4194304,keyvalue,4,0.37666312500005006
2048,keyvalue,24,6.250041999919631e-05
256,keyvalue,27,2.7383960004954133e-06
32,direct,14,5.13908349967096e-07
16,indirect,35,6.950416666465268e-07
8,direct,16,3.703749999840511e-07
128,direct,5,1.207925000198884e-06
8192,direct,4,0.0003745666599934339
65536,direct,1,0.004053965333393232
32,keyvalue,19,7.896562499809079e-07
16384,direct,37,0.0008849566800199682
8,indirect,29,6.258008399890969e-07
32,indirect,27,8.184416499716463e-07
8,indirect,11,6.234799999947427e-07
8192,indirect,11,0.0005197808199955034
8,indirect,16,6.128275000082794e-07
128,direct,6,1.163749999977881e-06
32768,indirect,27,0.0023783680832517953
32,direct,38,5.085396000140463e-07
64,direct,23,7.06266700035485e-07
65536,keyvalue,11,0.00425007649998103
4,direct,25,3.6775249998754587e-07
1048576,keyvalue,3,0.08562350000102015
16384,indirect,18,0.0010728349999408237
2048,direct,10,5.0511250001363806e-05
512,direct,5,4.348416001448641e-06
256,direct,10,2.246958500109031e-06
8,direct,28,3.736891600055969e-07
4096,indirect,19,0.00016186542001378257
128,keyvalue,26,1.704874999995809e-06
512,indirect,19,6.125500000052852e-06
4096,direct,13,0.00014114415998847107
16384,indirect,27,0.0011458850000053643
4194304,keyvalue,3,0.37452950000079
512,keyvalue,13,5.397750001066015e-06
2048,direct,11,3.027875000043423e-05
8192,direct,2,0.000379544999996142
4194304,direct,0,0.36167195800044283
1024,indirect,27,1.2475500003347406e-05
64,indirect,21,1.1329500001011183e-06
128,direct,29,1.2219166001159465e-06
8192,indirect,24,0.0005018491599912522
1048576,keyvalue,6,0.08708354100053839
8,direct,9,3.767658400101936e-07
4096,direct,17,0.00017856332999144798
8,keyvalue,17,6.318083400037722e-07
32768,keyvalue,8,0.0020576805000018794
2048,keyvalue,12,6.385166499967454e-05
262144,direct,8,0.01879520849979599
512,keyvalue,32,5.583957999988343e-06
16,direct,18,4.26627766622308e-07
4,keyvalue,28,6.210983399796533e-07
8,direct,10,3.713058400171576e-07
