Series length,Number of samples,Estimator,Runtime_multi,Runtime_per_sample
768,4,moment_quant_approx_samples,0.0264372919991728,0.0066093229997932
768,8,moment_quant_approx_samples,0.02692983399902,0.0033662292498775
768,10,moment_quant_approx_samples,0.0269591249998484,0.00269591249998484
768,16,moment_quant_approx_samples,0.0275914579979144,0.00172446612486965
768,30,moment_quant_approx_samples,0.0291371670027729,0.00097123890009243
768,32,moment_quant_approx_samples,0.0300256669979717,0.0009383020936866157
768,64,moment_quant_approx_samples,0.0340134580001176,0.0005314602812518374
768,100,moment_quant_approx_samples,0.0388909590001276,0.000388909590001276
768,300,moment_quant_approx_samples,0.0597447500003909,0.00019914916666796968
768,1000,moment_quant_approx_samples,0.133971625000413,0.000133971625000413
768,3000,moment_quant_approx_samples,0.3932155830007104,0.0001310718610002368
768,10000,moment_quant_approx_samples,1.6461190420013736,0.00016461190420013737
1024,1,moment_quant_approx_samples,0.0250267079973127,0.0250267079973127
1024,2,moment_quant_approx_samples,0.0262737499979266,0.0131368749989633
1024,3,moment_quant_approx_samples,0.0266108329997223,0.008870277666574099
1024,4,moment_quant_approx_samples,0.0266340420021151,0.006658510500528775
1024,8,moment_quant_approx_samples,0.0271595000012894,0.003394937500161175
1024,10,moment_quant_approx_samples,0.0274667499979841,0.00274667499979841
1024,16,moment_quant_approx_samples,0.0283260409996728,0.00177037756247955
1024,30,moment_quant_approx_samples,0.0301624999992782,0.0010054166666426066
1024,32,moment_quant_approx_samples,0.0307760840005357,0.0009617526250167406
1024,64,moment_quant_approx_samples,0.0355415830017591,0.000555337234402486
1024,100,moment_quant_approx_samples,0.0422780420012713,0.00042278042001271296
1024,300,moment_quant_approx_samples,0.0691660830016189,0.00023055361000539633
1024,1000,moment_quant_approx_samples,0.166126666998025,0.000166126666998025
1024,3000,moment_quant_approx_samples,0.4943842909997329,0.00016479476366657763
1024,10000,moment_quant_approx_samples,2.0843578339990927,0.00020843578339990927
1536,1,moment_quant_approx_samples,0.0255487079994054,0.0255487079994054
1536,2,moment_quant_approx_samples,0.0268201660001068,0.0134100830000534
1536,3,moment_quant_approx_samples,0.0271961670005111,0.009065389000170366
1536,4,moment_quant_approx_samples,0.0273649580012715,0.006841239500317875
1536,8,moment_quant_approx_samples,0.0280298329998913,0.0035037291249864124
1536,10,moment_quant_approx_samples,0.028390292001859,0.0028390292001859
1536,16,moment_quant_approx_samples,0.0297503750007308,0.001859398437545675
1536,30,moment_quant_approx_samples,0.0326999580029223,0.0010899986000974101
1536,32,moment_quant_approx_samples,0.0323247919986897,0.001010149749959053
1536,64,moment_quant_approx_samples,0.0412934170017251,0.0006452096406519547
1536,100,moment_quant_approx_samples,0.0443376250004803,0.00044337625000480304
1536,300,moment_quant_approx_samples,0.0865697919980448,0.000288565973326816
1536,1000,moment_quant_approx_samples,0.2232611250001355,0.0002232611250001355
1536,3000,moment_quant_approx_samples,0.7144546669987903,0.00023815155566626344
1536,10000,moment_quant_approx_samples,3.0649275000032503,0.00030649275000032503
2048,1,moment_quant_approx_samples,0.0257759170017379,0.0257759170017379
2048,2,moment_quant_approx_samples,0.0271853749982255,0.01359268749911275
2048,3,moment_quant_approx_samples,0.0276074579996929,0.009202485999897633
2048,4,moment_quant_approx_samples,0.0276732499987701,0.006918312499692525
2048,8,moment_quant_approx_samples,0.0286551669996697,0.0035818958749587126
2048,10,moment_quant_approx_samples,0.0293174160033231,0.00293174160033231
2048,16,moment_quant_approx_samples,0.0304814169976452,0.001905088562352825
2048,30,moment_quant_approx_samples,0.0337591250026889,0.0011253041667562966
2048,32,moment_quant_approx_samples,0.036334499996883,0.0011354531249025937
2048,64,moment_quant_approx_samples,0.0433117079992371,0.0006767454374880797
2048,100,moment_quant_approx_samples,0.058752666998771,0.00058752666998771
2048,300,moment_quant_approx_samples,0.1009782500004803,0.0003365941666682677
2048,1000,moment_quant_approx_samples,0.3019192499996279,0.00030191924999962787
2048,3000,moment_quant_approx_samples,0.9493572499995936,0.0003164524166665312
