Series length,Number of samples,Estimator,Runtime_single,Runtime_multi,Speedup
128,3000,moment_quant_approx_intervals,0.2035760420003498,0.2038737500006391,0.9985397433446515
128,10000,moment_quant_approx_intervals,0.8813796659997024,0.8637572080006066,1.0204020966029188
192,1,moment_quant_approx_intervals,0.0175793329999578,0.0173858750022191,1.0111273086752326
192,3,moment_quant_approx_intervals,0.0182438750002802,0.0179689159995177,1.0153019247666293
192,10,moment_quant_approx_intervals,0.0186372500002107,0.0183711669997137,1.0144837287963877
192,30,moment_quant_approx_intervals,0.0197764999998071,0.0195592920026683,1.0111051052926237
192,100,moment_quant_approx_intervals,0.0258135829999446,0.0237760830023034,1.0856953602258121
192,300,moment_quant_approx_intervals,0.039770542000042,0.0383436669981165,1.037212794540376
192,1000,moment_quant_approx_intervals,0.0887465000000702,0.0884487920011452,1.0033658797614913
192,3000,moment_quant_approx_intervals,0.242456540999683,0.2450700409972341,0.9893357017980807
192,10000,moment_quant_approx_intervals,1.268466250000074,1.1962113749978016,1.0604030997468197
256,1,moment_quant_approx_intervals,0.0177298339999651,0.0175591659972269,1.009719596179292
256,3,moment_quant_approx_intervals,0.0184178749996135,0.0182475000001431,1.0093368954360358
256,10,moment_quant_approx_intervals,0.0189760840003145,0.0187733749990002,1.0107976856225955
256,30,moment_quant_approx_intervals,0.0202976250002393,0.0201147090010636,1.0090936438188607
256,100,moment_quant_approx_intervals,0.0261407500001951,0.0249857079979847,1.0462281077767963
256,300,moment_quant_approx_intervals,0.0424410000000534,0.0423462919970916,1.0022365123012025
256,1000,moment_quant_approx_intervals,0.1027149999999892,0.1044660829975328,0.9832377844818309
256,3000,moment_quant_approx_intervals,0.2680935000003046,0.2726924999988114,0.9831348496987381
256,10000,moment_quant_approx_intervals,1.419403957999748,1.4089707080020162,1.0074048735992012
384,1,moment_quant_approx_intervals,0.0252606250001008,0.0252704170015931,0.9996125112818011
384,3,moment_quant_approx_intervals,0.026231832999656,0.0261296669996227,1.0039099618083451
384,10,moment_quant_approx_intervals,0.0269760840001254,0.0267939590012247,1.0067972410830508
384,30,moment_quant_approx_intervals,0.0289752919998136,0.0284699160001764,1.017751229038894
384,100,moment_quant_approx_intervals,0.0359687080003823,0.0361035000023548,0.9962665115026602
384,300,moment_quant_approx_intervals,0.0570447079999212,0.0567172089977248,1.0057742439725752
384,1000,moment_quant_approx_intervals,0.1361535410001124,0.1374387920004665,0.9906485572112004
384,3000,moment_quant_approx_intervals,0.4098142080001707,0.4053837499996007,1.0109290468613366
384,10000,moment_quant_approx_intervals,2.2335857079997368,2.203153416998248,1.0138130603010627
512,1,moment_quant_approx_intervals,0.0258962910002082,0.025583833001292,1.0122131034431165
512,3,moment_quant_approx_intervals,0.0271324159998584,0.0268357909990299,1.011053335481679
512,10,moment_quant_approx_intervals,0.027900750000299,0.027683333002642,1.007853714638922
512,30,moment_quant_approx_intervals,0.0301018750001276,0.0297050000008312,1.0133605453386736
512,100,moment_quant_approx_intervals,0.0413092499998128,0.0398625000016181,1.0362935088902097
512,300,moment_quant_approx_intervals,0.064987000000201,0.0638854169992555,1.0172431057460005
512,1000,moment_quant_approx_intervals,0.1603970830001344,0.1627986249986861,0.9852483889309808
512,3000,moment_quant_approx_intervals,0.491032708000148,0.4783561670010385,1.0265002144293083
512,10000,moment_quant_approx_intervals,2.527484749999985,2.4826617910002824,1.018054395956061
768,1,moment_quant_approx_intervals,0.0288265420003881,0.0287124999995285,1.0039718589764552
768,3,moment_quant_approx_intervals,0.0303754579999804,0.0300742500003252,1.0100154783461581
768,10,moment_quant_approx_intervals,0.0313311249992693,0.0310308329972031,1.0096772136955934
768,30,moment_quant_approx_intervals,0.0356482910001432,0.0348719590001564,1.0222623569838252
768,100,moment_quant_approx_intervals,0.0471779580002476,0.0471735409992106,1.000093633018498
768,300,moment_quant_approx_intervals,0.083082791000379,0.0852067910018377,0.9750724094114414
768,1000,moment_quant_approx_intervals,0.2166616250005972,0.224952000000485,0.9631460267084982
768,3000,moment_quant_approx_intervals,0.7568780000001425,0.7741638329971465,0.9776716086954326
768,10000,moment_quant_approx_intervals,3.904674041999897,3.9478810420005175,0.9890556479435545
1024,1,moment_quant_approx_intervals,0.0291628750001109,0.0287586659978842,1.0140552069507132
1024,3,moment_quant_approx_intervals,0.0307115830000839,0.0304417079969425,1.0088653042453632
1024,10,moment_quant_approx_intervals,0.0320306670000718,0.0317529999992984,1.008744591086812
1024,30,moment_quant_approx_intervals,0.0375357920001988,0.0363174580015766,1.0335467861921754
1024,100,moment_quant_approx_intervals,0.0514421669995499,0.0503669999998237,1.0213466555429143
1024,300,moment_quant_approx_intervals,0.0953886249999413,0.0969897499999206,0.9834918122793325
1024,1000,moment_quant_approx_intervals,0.2580398749996675,0.2602533330027654,0.9914949869131
1024,3000,moment_quant_approx_intervals,0.928902458000266,0.9349932090008224,0.9934857804934591
1024,10000,moment_quant_approx_intervals,4.496810374999768,4.570352624999941,0.9839088455455504
1536,1,moment_quant_approx_intervals,0.0293917500002862,0.0291619169984187,1.0078812720672636
1536,3,moment_quant_approx_intervals,0.0312617090003186,0.0310547079971001,1.0066656882826857
1536,10,moment_quant_approx_intervals,0.0330086670001037,0.0328626250011439,1.0044440150156817
1536,30,moment_quant_approx_intervals,0.0387732909994156,0.0396512919978704,0.9778569384699506
1536,100,moment_quant_approx_intervals,0.0612738329991771,0.0585092080000322,1.0472511095884836
1536,300,moment_quant_approx_intervals,0.1278081660002499,0.1269305829991935,1.00691388143283
