Dtype,l,Method,Run,Runtime
float32,4,argsort,2,2.5986391799960984e-06
float64,2048,argsort,9,5.406354000115243e-05
float32,4,sort,9,2.695682500016119e-06
float64,512,sort,9,7.663583999601542e-06
float32,512,sort,8,7.560582998848986e-06
float32,16,argsort,5,2.6363083333611335e-06
float32,8192,sort,8,0.00038089415997092144
float32,2048,argsort,9,5.477646000144887e-05
float32,256,sort,6,4.704416500317166e-06
float32,2048,sort,0,2.8140209997218336e-05
float64,64,sort,4,3.0968166998718517e-06
float32,16384,sort,7,0.0008708633200149051
float64,16,argsort,0,2.669209733358002e-06
float32,512,argsort,6,7.564542000181973e-06
float64,512,sort,6,7.665124998311512e-06
float32,16384,sort,5,0.0008619433199783088
float32,128,sort,1,3.5397499999817226e-06
float64,1024,argsort,2,1.3670584001374664e-05
float64,32,argsort,1,2.7125500000693135e-06
float32,1024,sort,6,1.3392916000157129e-05
float32,2048,argsort,3,3.759457999876759e-05
float32,32768,sort,4,0.0019224097498711974
float32,64,sort,5,3.077708300043014e-06
float64,64,argsort,0,2.9490291000911384e-06
float64,16384,sort,3,0.0008955366399459308
float64,1024,argsort,6,1.8846666000172263e-05
float64,128,sort,9,3.4792082002240933e-06
float64,32768,argsort,8,0.0019837569166156754
float32,16,sort,3,2.7600305666661977e-06
float32,4096,argsort,9,0.00017467333000240615
float32,16384,argsort,3,0.0009004566399380564
float64,2048,argsort,2,7.771791999402922e-05
float64,1024,sort,0,2.5563499999407213e-05
float64,4096,sort,4,0.00016643291000946193
float32,8192,argsort,7,0.0003800333199978922
float64,8192,argsort,7,0.00041498334001516924
float64,512,argsort,9,7.589416998598608e-06
float32,2048,argsort,2,3.5956249994342216e-05
float32,4,argsort,8,2.597577499982435e-06
float64,1024,argsort,0,1.3777249998383923e-05
float64,1024,argsort,1,1.3462165999953867e-05
float32,4,sort,4,2.6972608199866954e-06
float32,32768,argsort,8,0.0019164479167557147
float32,32768,argsort,4,0.0018989618333762337
float32,64,argsort,7,2.9867166998883477e-06
float32,4,argsort,0,2.6403241600201e-06
float32,8192,sort,3,0.00037543499998719197
float64,16384,argsort,7,0.0009410033200401812
float64,64,argsort,5,2.992591700058256e-06
float64,32768,argsort,9,0.001983673583254131
float64,64,sort,0,3.0774250000831672e-06
float32,32768,argsort,2,0.0019051423332712147
float32,256,argsort,0,4.569062500195287e-06
float32,8192,sort,2,0.00037540249999437944
float64,128,argsort,7,3.345824999996694e-06
float64,256,argsort,3,4.625020999810658e-06
