Dataset,SeriesLength,LengthBin,Estimator,Stage,MeanTime,PctOfTotal
BME,128,Short,moment_quant_exact,Transformation (inference),0.033398166600818464,27.43506490830229
BME,128,Short,moment_quant_exact,Transformation (training),0.008948927800520274,7.351134509909533
BME,128,Short,quant,Classification (inference),0.005097952732952113,3.9041151953027384
BME,128,Short,quant,Classification (training),0.0725626083995545,55.56991147296381
BME,128,Short,quant,Transformation (inference),0.029921254100190673,22.914300880036436
BME,128,Short,quant,Transformation (training),0.022997137434625337,17.61167245169701
Beef,470,Medium-long,moment_quant_approx,Classification (inference),0.00494597646611504,1.9556407469739268
Beef,470,Medium-long,moment_quant_approx,Classification (training),0.1936738473004273,76.57870392202392
Beef,470,Medium-long,moment_quant_approx,Transformation (inference),0.026120273666795837,10.327964933690783
Beef,470,Medium-long,moment_quant_approx,Transformation (training),0.02816813603276382,11.137690397311351
Beef,470,Medium-long,moment_quant_exact,Classification (inference),0.004962369434360837,2.1455504105311136
Beef,470,Medium-long,moment_quant_exact,Classification (training),0.19216207499994195,83.0839832378865
Beef,470,Medium-long,moment_quant_exact,Transformation (inference),0.015081408400389233,6.520659618928648
Beef,470,Medium-long,moment_quant_exact,Transformation (training),0.0190806930326895,8.249806732653731
Beef,470,Medium-long,quant,Classification (inference),0.00496400273332251,1.8989212565245874
Beef,470,Medium-long,quant,Classification (training),0.19049565146633535,72.8718861125215
Beef,470,Medium-long,quant,Transformation (inference),0.032458031933977755,12.416440944046474
Beef,470,Medium-long,quant,Transformation (training),0.03349403466660681,12.812751686907431
BeetleFly,512,Medium-long,moment_quant_approx,Classification (inference),0.004846665366979576,3.0572265502858667
BeetleFly,512,Medium-long,moment_quant_approx,Classification (training),0.10045951943272176,63.36882924312074
BeetleFly,512,Medium-long,moment_quant_approx,Transformation (inference),0.02502428883356814,15.78506342633765
BeetleFly,512,Medium-long,moment_quant_approx,Transformation (training),0.02820096940049548,17.78888078025573
BeetleFly,512,Medium-long,moment_quant_exact,Classification (inference),0.004700673533079637,3.6059476071735084
BeetleFly,512,Medium-long,moment_quant_exact,Classification (training),0.10030502919956533,76.94528826227119
BeetleFly,512,Medium-long,moment_quant_exact,Transformation (inference),0.01065579033286965,8.174194906954188
BeetleFly,512,Medium-long,moment_quant_exact,Transformation (training),0.014697404100055133,11.2745692236011
BeetleFly,512,Medium-long,quant,Classification (inference),0.004772783167815407,2.880557940136886
BeetleFly,512,Medium-long,quant,Classification (training),0.09968013203251753,60.16078788921568
BeetleFly,512,Medium-long,quant,Transformation (inference),0.03011127649976208,18.1733117888002
BeetleFly,512,Medium-long,quant,Transformation (training),0.03112534716710794,18.785342381847247
BirdChicken,512,Medium-long,moment_quant_approx,Classification (inference),0.004786513933261893,3.2533757788374182
BirdChicken,512,Medium-long,moment_quant_approx,Classification (training),0.09030874569968238,61.38251971541034
BirdChicken,512,Medium-long,moment_quant_approx,Transformation (inference),0.02499099863343868,16.98628913999232
BirdChicken,512,Medium-long,moment_quant_approx,Transformation (training),0.027038275099766865,18.377815365759925
BirdChicken,512,Medium-long,moment_quant_exact,Classification (inference),0.004697772099461817,3.8893344463830823
BirdChicken,512,Medium-long,moment_quant_exact,Classification (training),0.09116875976663621,75.47956569349631
BirdChicken,512,Medium-long,moment_quant_exact,Transformation (inference),0.010421627833905663,8.628174220379387
