Series length,Number of samples,Estimator,Run,Runtime
16,30,quant_float64,6,0.0034959580007125624
16,30,quant_float64,7,0.0035516249990905635
16,30,quant_float64,8,0.003488959002424963
16,30,quant_float64,9,0.0034865829948103055
16,100,quant_float64,0,0.003785041997616645
16,100,quant_float64,1,0.0038071250019129366
16,100,quant_float64,2,0.003882582997903228
16,100,quant_float64,3,0.0037620830044033937
16,100,quant_float64,4,0.003757459002372343
16,100,quant_float64,5,0.003769208997255191
16,100,quant_float64,6,0.0037865830017835833
16,100,quant_float64,7,0.0037732089986093342
16,100,quant_float64,8,0.0037760000050184317
16,100,quant_float64,9,0.003767041998798959
16,300,quant_float64,0,0.004508291000092868
16,300,quant_float64,1,0.0046243329998105764
16,300,quant_float64,2,0.004507040997850709
16,300,quant_float64,3,0.004460084004676901
16,300,quant_float64,4,0.004483041004277766
16,300,quant_float64,5,0.004475000001548324
16,300,quant_float64,6,0.004436499999428634
16,300,quant_float64,7,0.00445241600391455
16,300,quant_float64,8,0.004448583000339568
16,300,quant_float64,9,0.004436959003214724
16,1000,quant_float64,0,0.007128249999368563
16,1000,quant_float64,1,0.00721499999781372
16,1000,quant_float64,2,0.0070002079955884255
16,1000,quant_float64,3,0.007116707995010074
16,1000,quant_float64,4,0.007025957995210774
16,1000,quant_float64,5,0.007024708000244573
16,1000,quant_float64,6,0.007018208001682069
16,1000,quant_float64,7,0.006990750000113621
16,1000,quant_float64,8,0.006973499999730848
16,1000,quant_float64,9,0.007008999993558973
16,3000,quant_float64,0,0.014878917005262338
16,3000,quant_float64,1,0.014713708005729131
16,3000,quant_float64,2,0.014603582996642217
16,3000,quant_float64,3,0.014593583000532817
16,3000,quant_float64,4,0.01468883299821755
16,3000,quant_float64,5,0.014533125002344605
16,3000,quant_float64,6,0.014574625005479902
16,3000,quant_float64,7,0.014639790999353863
16,3000,quant_float64,8,0.014513041998725384
16,3000,quant_float64,9,0.014642082998761907
16,10000,quant_float64,0,0.04323770799965132
16,10000,quant_float64,1,0.042450540997378994
16,10000,quant_float64,2,0.042188916995655745
16,10000,quant_float64,3,0.042092083996976726
16,10000,quant_float64,4,0.04227549999632174
16,10000,quant_float64,5,0.042291458004910965
16,10000,quant_float64,6,0.042240166003466584
16,10000,quant_float64,7,0.04229887499968754
16,10000,quant_float64,8,0.04352758299501147
16,10000,quant_float64,9,0.04269537499931175
17,1,quant_float64,0,0.003498499994748272
17,1,quant_float64,1,0.0034997920010937378
17,1,quant_float64,2,0.003510041999106761
17,1,quant_float64,3,0.0034858750004787
17,1,quant_float64,4,0.003462041000602767
17,1,quant_float64,5,0.0034654580013011582
17,1,quant_float64,6,0.0034850000010919757
17,1,quant_float64,7,0.0034608749992912635
17,1,quant_float64,8,0.0034762079958454706
17,1,quant_float64,9,0.0036523339949781075
17,3,quant_float64,0,0.0037117089959792793
17,3,quant_float64,1,0.0038058339996496215
17,3,quant_float64,2,0.003698250002344139
17,3,quant_float64,3,0.003670416997920256
17,3,quant_float64,4,0.0036703329969896004
17,3,quant_float64,5,0.003665999996883329
17,3,quant_float64,6,0.003659709000203293
17,3,quant_float64,7,0.0036955409959773533
17,3,quant_float64,8,0.003682666996610351
17,3,quant_float64,9,0.0036492499930318445
17,10,quant_float64,0,0.0037054579952382483
17,10,quant_float64,1,0.0037693750055041164
17,10,quant_float64,2,0.003719041997101158
17,10,quant_float64,3,0.003699666995089501
17,10,quant_float64,4,0.003689625002152752
17,10,quant_float64,5,0.0038935409975238144
17,10,quant_float64,6,0.003917292000551242
17,10,quant_float64,7,0.0038704170001437888
17,10,quant_float64,8,0.0038291250020847656
17,10,quant_float64,9,0.003821375001280103
17,30,quant_float64,0,0.00397954200161621
17,30,quant_float64,1,0.003972582999267615
17,30,quant_float64,2,0.003947791003156453
17,30,quant_float64,3,0.00396804199408507
17,30,quant_float64,4,0.003994625003542751
17,30,quant_float64,5,0.003979125001933426
17,30,quant_float64,6,0.00396691700007068
17,30,quant_float64,7,0.00394633299583802
17,30,quant_float64,8,0.0039478329999838024
17,30,quant_float64,9,0.003943208001146559
17,100,quant_float64,0,0.004200458999548573
17,100,quant_float64,1,0.00422029200126417
17,100,quant_float64,2,0.004088583998964168
17,100,quant_float64,3,0.004224833995976951
17,100,quant_float64,4,0.0039847079970058985
17,100,quant_float64,5,0.004021500004455447
17,100,quant_float64,6,0.004061166000610683
17,100,quant_float64,7,0.004020958993351087
17,100,quant_float64,8,0.004048875001899432
17,100,quant_float64,9,0.004022374996566214
17,300,quant_float64,0,0.004821542002900969
17,300,quant_float64,1,0.004981167003279552
17,300,quant_float64,2,0.004875666003499646
17,300,quant_float64,3,0.00490525000350317
17,300,quant_float64,4,0.005089375001261942
17,300,quant_float64,5,0.0049109999963548034
17,300,quant_float64,6,0.004960416001267731
